,VPI_ID,VPI_label_V3,VPI_label_V4,VPI_name,Taxo_high,Fxnl_high,Fxnl_low
22,21,Iso_rigida,I_rig,Isophyllia_rigida,Mussidae,Hard_coral,Hard_coral
23,22,Iso_sinuo,I_sin,Isophyllia_sinuosa,Mussidae,Hard_coral,Hard_coral
24,23,Leather_coral,Leather_coral,Leather_coral,Octocoral,Soft_coral,Soft_coral
25,24,M_carma,M_car,Madracis_carmabi,Astrocoeniidae,Hard_coral,Hard_coral
26,25,M_form,M_for,Madracis_formosa,Astrocoeniidae,Hard_coral,Hard_coral
27,26,M_phar,M_pha,Madracis_pharensis,Astrocoeniidae,Hard_coral,Hard_coral
28,27,M_senar,M_sen,Madracis_senaria,Astrocoeniidae,Hard_coral,Hard_coral
29,28,Mill_squa,M_squ,Millepora_squarrosa,Milleporidae,Invertebrates,Millepora
30,29,Mill_striata,M_str,Millepora_striata,Milleporidae,Invertebrates,Millepora
31,30,Muricea,Muricea,Muricea,Octocoral,Soft_coral,Soft_coral
32,31,Muriceopsis,Muriceopsis,Muriceopsis,Octocoral,Soft_coral,Soft_coral
33,32,Mycto_dana,M_dan,Mycetophyllia_danaana,Mussidae,Hard_coral,Hard_coral
34,33,Mycto_reezy,M_ree,Mycetophyllia_reesi,Mussidae,Hard_coral,Hard_coral
35,34,Octo_pachy,Octo_pachy,Octocoral_pachyclavularia,Octocoral,Soft_coral,Soft_coral
36,35,P_branneri,P_bra,Porites_branneri,Poritidae,Hard_coral,Hard_coral
37,36,Plexaura,Plexaura,Plexaura,Octocoral,Soft_coral,Soft_coral
38,37,Plexaurella,Plexaurella,Plexaurella,Octocoral,Soft_coral,Soft_coral
39,38,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Invertebrates,Invertebrates
40,39,Pseudoplex,Pseudoplex,Pseudoplexaura,Octocoral,Soft_coral,Soft_coral
41,40,Pterogorgia,Pterogorgia,Pterogorgia,Octocoral,Soft_coral,Soft_coral
42,41,Sid_stell,S_ste,Siderastrea_stellata,Siderastreidae,Hard_coral,Hard_coral
43,42,Scolym_cube,S_cub,Scolymia_cubensis,Mussidae,Hard_coral,Hard_coral
44,43,Scolym_lace,S_lac,Scolymia_lacera,Mussidae,Hard_coral,Hard_coral
45,44,Stylaster,Stylaster,Stylaster_roseus,Stylasteridae,Invertebrates,Invertebrates
46,45,Trididemnum,Trididemnum,Trididemnum,Tunicata,Invertebrates,Invertebrates
47,46,Tunicate,Tunicate,Tunicate,Tunicata,Invertebrates,Invertebrates
48,47,A_cerv,A_cer,Acropora_cervicornis,Acroporidae,Hard_coral,Hard_coral
49,48,A_palm,A_pal,Acropora_palmata,Acroporidae,Hard_coral,Hard_coral
50,49,A_prolif,A_pro,Acropora_prolifera,Acroporidae,Hard_coral,Hard_coral
51,50,Agaricia_sp,Agaricia_sp,Agaricia_sp,Agariciidae,Hard_coral,Hard_coral
52,51,Anemone,Anemone,Anemone,Anemone,Anemone,Invertebrates
53,52,Barrell_spng,Barrell_spng,Xestospongia,Sponge,Sponge,Sponge
54,53,Branch_octo,Branch_octo,Branching_Octocorals,Octocoral,Soft_coral,Soft_coral
55,54,Briareum,Briareum,Briareum_branch,Octocoral,Soft_coral,Soft_coral
56,55,Bryozo,Bryozo,Bryozoan,Bryozoan,Invertebrates,Invertebrates
57,56,Chondrilla,Chondrilla,Chondrilla,Sponge,Sponge,Sponge
58,57,Clionid,Clionid,Clionid,Sponge,Sponge,Sponge
59,58,Colpo_nat,C_nat,Colpophyllia_natans,Faviidae,Hard_coral,Hard_coral
60,59,Coral_skeleton,Coral_skeleton,Coral_skeleton,Coral_skeleton,Coral_skeleton,Coral_skeleton
61,60,Corallimorph,Corallimorph,Corallimorph,Corallimorph,Soft_coral,Soft_coral
62,61,Diplor_lab,D_lab,Diploria_labyrinthiformis,Faviidae,Hard_coral,Hard_coral
63,62,Dendrogyra,D_cyl,Dendrogyra_cylindrus,Meandrinidae,Hard_coral,Hard_coral
64,63,Dichocoenia,D_sto,Dichocoenia_stokesii,Meandrinidae,Hard_coral,Hard_coral
65,64,Encr_spng,Encr_spng,encrusting_sponge,Sponge,Sponge,Sponge
66,65,Eusmilia,E_fas,Eusmilia_fastigiata,Meandrinidae,Hard_coral,Hard_coral
67,66,Favia,F_fra,Favia_fragum,Faviidae,Hard_coral,Hard_coral
68,67,Helioseris,H_cuc,Helioseris_cucculata,Agariciidae,Hard_coral,Hard_coral
69,68,Hydroid,Hydroid,Hydroid,Hydroid,Invertebrates,Invertebrates
70,69,Isophyllia_sp,Isophyllia_sp,Isophyllia_sp,Mussidae,Hard_coral,Hard_coral
71,70,Mill_alci,M_alc,Millepora_alcicornis,Milleporidae,Invertebrates,Millepora
72,71,M_cav,M_cav,Montastraea_cavernosa,Faviidae,Hard_coral,Hard_coral
73,72,Mill_comp,M_com,Millepora_complanata,Milleporidae,Invertebrates,Millepora
74,73,M_decac,M_dec,Madracis_decactis complex,Astrocoeniidae,Hard_coral,Hard_coral
75,74,M_mirab,M_mir,Madracis_mirabilis,Astrocoeniidae,Hard_coral,Hard_coral
76,75,Madracis_sp,Madracis_sp,Madracis_sp,Astrocoeniidae,Hard_coral,Hard_coral
77,76,Manicina,M_are,Manicina_areolata,Faviidae,Hard_coral,Hard_coral
78,77,Meandrina,M_mea,Meandrina_meandrites,Meandrinidae,Hard_coral,Hard_coral
79,78,Millepora_sp,Millepora_sp,Millepora_sp,Milleporidae,Invertebrates,Millepora
80,79,Mussa,M_ang,Mussa_angulosa,Mussidae,Hard_coral,Hard_coral
81,80,Mycto_alici,M_ali,Mycetophyllia_aliciae,Mussidae,Hard_coral,Hard_coral
82,81,Mycto_ferox,M_fer,Mycetophyllia_ferox,Mussidae,Hard_coral,Hard_coral
83,82,Mycto_lamarc,M_lam,Mycetophyllia_lamarckiana,Mussidae,Hard_coral,Hard_coral
84,83,Mycto_sp,Mycetophyillia_sp,Mycetophyillia_sp,Mussidae,Hard_coral,Hard_coral
85,84,O_ann,O_ann,Orbicella_annularis,Faviidae,Hard_coral,Hard_coral
86,85,O_fav,O_fav,Orbicella_faveolata,Faviidae,Hard_coral,Hard_coral
87,86,O_frank,O_fra,Orbicella_franksi,Faviidae,Hard_coral,Hard_coral
88,87,Oculina,O_dif,Oculina_diffusa,Oculinidae,Hard_coral,Hard_coral
89,88,Orbicella_sp,Orbicella_sp,Orbicella_sp,Faviidae,Hard_coral,Hard_coral
90,89,Other_invert,Other_invert,Other_invert,Invertebrates,Invertebrates,Invertebrates
91,90,P_astreoides,P_ast,Porites_astreoides,Poritidae,Hard_coral,Hard_coral
92,91,P_clivosa,P_cli,Pseudodiploria_clivosa,Faviidae,Hard_coral,Hard_coral
93,92,P_divaricata,P_div,Porites_divaricata,Poritidae,Hard_coral,Hard_coral
94,93,P_furcata,P_fur,Porites_furcata,Poritidae,Hard_coral,Hard_coral
95,94,P_porites,P_por,Porites_porites,Poritidae,Hard_coral,Hard_coral
96,95,Porites_sp,Porites_sp,Porites_sp,Poritidae,Hard_coral,Hard_coral
97,96,P_strigosa,P_str,Pseudodiploria_strigosa,Faviidae,Hard_coral,Hard_coral
98,97,Palythoa,Palythoa,Palythoa_sp,Zoanthidae,Invertebrates,Zoanthid
99,98,Pavement,Pavement,Pavement,Pavement,Non_biological,Substrate
100,99,Pseudopterog,Pseudopterog,Antillogorgia,Octocoral,Soft_coral,Soft_coral
101,100,Sid_rad,S_rad,Siderastrea_radians,Siderastreidae,Hard_coral,Hard_coral
102,101,Sid_sid,S_sid,Siderastrea_siderea,Siderastreidae,Hard_coral,Hard_coral
103,102,Sid_sp,Siderastrea_sp,Siderastrea_sp,Siderastreidae,Hard_coral,Hard_coral
104,103,Sand,Sand,Sand,Sand,Non_biological,Substrate
105,104,Scolymia_sp,Scolymia_sp,Scolymia_sp,Mussidae,Hard_coral,Hard_coral
106,105,Sea_fan,Sea_fan,Gorgonia_sp,Octocoral,Soft_coral,Soft_coral
107,106,Seagrass,Seagrass,Seagrass,Seagrass,Seagrass,Seagrass
108,107,Solenastrea,S_bou,Solenastrea_bournoni,Faviidae,Hard_coral,Hard_coral
109,108,Stephanocoenia,S_int,Stephanocoenia_intersepta,Astrocoeniidae,Hard_coral,Hard_coral
110,109,Tubastrea,Tubastrea,Tubastrea_sp,Dendrophylliidae,Hard_coral,Hard_coral
111,110,Tube_spng,Tube_spng,erect sponge,Sponge,Sponge,Sponge
112,111,Zoanthid,Zoanthid,Zoanthus,Zoanthidae,Invertebrates,Zoanthid
113,112,Calc_algae,Calc_algae,Calcareous_Algae,Calcareous_Algae,Macroalgae,Macroalgae
114,113,CCA,CCA,CCA,CCA,CCA,CCA
115,114,Cyano,Cyano,Cyanobacteria,Cyanophyta,Cyanobacteria,Cyanobacteria
116,115,Dictyota,Dictyota,Dictyota,Dictyota,Macroalgae,Macroalgae
117,116,Halimeda,Halimeda,Halimeda,Calcareous_Algae,Macroalgae,Macroalgae
118,117,Lobophora,Lobophora,Lobophora,Lobophora,Macroalgae,Macroalgae
119,118,Encr_macro,Encr_macro,Encrusting_macroalgae,Encrusting_macroalgae,Macroalgae,Macroalgae
120,119,Unkn_macro,Unkn_macro,Unknown_macroalgae,Unknown_macroalgae,Macroalgae,Macroalgae
121,120,,,,,,
122,121,Peyssonnelia,Peyssonnelia,Peyssonnelia_sp,Peyssonnelia_sp,Macroalgae,Macroalgae
123,122,Turf,Turf,Turf_Algae,Turf_Algae,Turf_Algae,Turf_Algae
124,123,Turf_new,Turf_new,Turf_over_recently_dead_coral,Turf_Algae,Turf_Algae,Turf_Algae
125,124,Unknown,Unknown,Unknown,,,
